记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90226,168平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,169.0万,10060.0,11.0,3,2,2
SH90227,75平米,南,低层,精装修,无 ,平层,板楼,城关,附件有学校,70.0万,9333.0,12.0,2,2,1
SH90233,111.9平米,南,高层,毛坯,有 ,平层,板楼,城关,附件有学校,126.0万,11260.0,6.0,2,2,1
SH90234,93.28平米,南北,低层,简装修,无 ,平层,钢混,西固,附件无学校,76.0万,8148.0,18.0,2,2,1
SH90236,113平米,南北,高层,精装修,有 ,平层,钢混,城关,附件无学校,148.0万,13097.0,15.0,3,2,2
SH90237,68平米,南,中层,精装修,无 ,平层,板楼,城关,附件有学校,88.0万,12941.0,18.0,2,1,1
SH90238,60平米,南北,中层,简装修,有 ,平层,板楼,城关,附件有学校,80.0万,13333.0,19.0,1,1,1
SH97492,85.83平米,西南,中层,暂无,有 ,平层,板楼,七里河,附件有学校,144.0万,16777.0,17.0,2,2,1
SH90242,108.11平米,南北,中层,中装修,无 ,平层,塔楼,城关,附件有学校,131.0万,12117.0,17.0,3,2,1
SH90243,84.34平米,南,中层,精装修,有 ,平层,塔楼,七里河,附件有学校,106.0万,12568.0,21.0,2,1,1
SH90246,88.7平米,东北,中层,精装修,无 ,平层,钢混,城关,附件无学校,148.0万,16685.0,10.0,2,2,1
SH90248,97平米,南,中层,毛坯,有 ,平层,钢混,城关,附件有学校,120.0万,12371.0,7.0,2,2,1
SH90251,143平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,274.0万,19161.0,10.0,3,2,2
SH90252,139.21平米,南北,高层,毛坯,有 ,平层,塔楼,城关,附件有学校,175.0万,12571.0,6.0,3,2,2
SH90253,98平米,南北,中层,毛坯,有 ,平层,塔板结合,城关,附件无学校,95.0万,9694.0,4.0,2,2,1
SH90256,90平米,南北,高层,简装修,无 ,平层,钢混,城关,附件有学校,73.8万,8200.0,12.0,3,2,1
SH90259,91平米,南北,中层,中装修,有 ,平层,钢混,安宁,附件无学校,103.0万,11319.0,24.0,2,2,1
SH90262,39平米,西,中层,简装修,无 ,平层,钢混,城关,附件有学校,58.0万,14872.0,22.0,1,0,1
SH90263,135.85平米,南北,低层,毛坯,有 ,平层,钢混,七里河,附件无学校,179.0万,13176.0,6.0,3,2,2
SH97833,240平米,南北,中层,精装修,无 ,平层,板楼,安宁,附件有学校,289.0万,12042.0,16.0,4,2,2
SH90270,67.81平米,南,高层,简装修,有 ,平层,板楼,城关,附件有学校,81.0万,11945.0,2.0,2,1,1
SH90273,109平米,南北,中层,精装修,有 ,平层,塔楼,城关,附件无学校,120.0万,11009.0,15.0,2,2,1
SH90275,145.16平米,南北,高层,简装修,有 ,平层,板楼,七里河,附件有学校,180.0万,12400.0,16.0,3,2,2
SH90276,268平米,南北,低层,精装修,无 ,平层,板楼,城关,附件无学校,248.0万,9254.0,6.0,4,4,4
SH90278,60平米,南,高层,精装修,无 ,平层,板楼,七里河,附件有学校,62.2万,10367.0,10.0,1,1,1
SH90279,90.32平米,南北,中层,精装修,无 ,平层,板楼,安宁,附件无学校,101.0万,11182.0,18.0,2,2,1
SH90280,155.6平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,265.0万,17031.0,10.0,3,2,2
SH90282,93.67平米,南北,低层,精装修,有 ,平层,塔楼,城关,附件有学校,132.0万,14092.0,12.0,2,2,1
SH90283,96平米,南,高层,精装修,无 ,跃层,塔楼,城关,附件有学校,124.0万,12917.0,6.0,2,1,1
SH90284,107平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,125.0万,11682.0,18.0,2,2,1
SH90287,85.66平米,南北,中层,中装修,有 ,平层,板楼,城关,附件有学校,98.0万,11441.0,19.0,2,2,1
SH90288,63.14平米,东西,低层,精装修,无 ,平层,板楼,城关,附件有学校,67.5万,10691.0,18.0,2,1,1
SH97938,84平米,南,低层,精装修,有 ,平层,板楼,安宁,附件无学校,89.0万,10595.0,12.0,2,2,1
SH90292,99.53平米,南北,高层,精装修,有 ,平层,钢混,城关,附件有学校,155.0万,15573.0,8.0,2,2,1
SH90294,107.18平米,西北,低层,精装修,有 ,平层,塔楼,城关,附件有学校,255.0万,23792.0,18.0,2,2,1
SH90295,94平米,南,高层,精装修,有 ,开间,板楼,安宁,附件无学校,138.0万,14681.0,7.0,3,2,1
